Приложение Д.1.6.8,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,net.core.bpf_jit_harden::2
Приложение Д.1.6.9,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX vsyscall=none"""""
Приложение Д.1.6.10,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.perf_event_paranoid::3
Приложение Д.1.6.11,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX debugfs=no-mount"""""
Приложение Д.1.6.12,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.kexec_load_disabled::1
Приложение Д.1.6.13,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.unprivileged_bpf_disabled::1
Приложение Д.1.6.14,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,vm.unprivileged_userfaultfd::0
Приложение Д.1.6.15,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,dev.tty.ldisc_autoload::0
Приложение Д.1.6.16,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX debugfs=tsx=off"""""
Приложение Д.1.6.17,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,vm.mmap_min_addr::4096
Приложение Д.1.6.18,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.randomize_va_space::2
Приложение Д.1.7,Настройка средств защиты пользовательского пространства со стороны ядра AstraLinux,,@
Приложение Д.1.7.1,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,kernel.yama.ptrace_scope::3
Приложение Д.1.7.2,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,fs.protected_symlinks::1
Приложение Д.1.7.3,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,fs.protected_hardlinks::1
Приложение Д.1.7.4,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,fs.protected_fifos::2
Приложение Д.1.7.5,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,fs.protected_regular::2
Приложение Д.1.7.6,Настройка механизмов защиты ядра AstraLinux,{file}/etc/sysctl.d/98-fstec.conf,fs.suid_dumpable::0
Приложение Д.2,Настройка регистрации событий информационной безопасности (настройка сервиса auditd),,@
Приложение Д.2.1 (КИС АУДИТ Д.3.3.5),Настройки журналов аудита,{file}/etc/audit/auditd.conf,local_events::yes
Приложение Д.2.1 (КИС АУДИТ Д.3.3.5),Настройки журналов аудита,{file}/etc/audit/auditd.conf,write_logs::yes
Приложение Д.2.1 (КИС АУДИТ Д.3.3.5),Настройки журналов аудита,{file}/etc/audit/auditd.conf,log_file::/var/log/audit/audit.log
Приложение Д.2.1 (КИС АУДИТ Д.3.3.5),Настройки журналов аудита,{file}/etc/audit/auditd.conf,log_group::adm
